Participant,Experiment,Stimulus,Saccade_Frequency,Avg_Saccade_Duration,Avg_Gaze_Deviation,Avg_Fixation_Deviation,Avg_Saccade_Deviation
49,13,01 neutre2.avi,0.1157347204161248,42.13469047611579,0.0,0.0,0.0
36,17,01 neutre22.avi,0.0633036597428288,28.114131578930248,96.0129167990053,95.09198049859657,112.67651628338366
31,17,01 neutre22.avi,0.0816802800466744,31.59486842105666,89.35498193077872,80.75183457592135,126.38513769022815
57,17,01 neutre22.avi,0.0488798370672097,25.84722580645077,93.54450891243756,92.63521342426327,102.4379706608774
56,17,01 neutre22.avi,0.0752797558494405,28.728627906998607,124.80759950126473,121.436493102731,160.2544397224668
37,15,01 neutre3.avi,0.140495867768595,52.25227499999592,0.0,0.0,0.0
50,25,01vnvg151201b1.avi,0.3292682926829268,120.30663235297207,192.4508518766995,163.76609139926714,234.69196260192118
50,10,01vnvg151201b1.avi,0.3292682926829268,120.30663235297207,192.4508518766995,163.76609139926714,234.69196260192118
21,25,01vnvg151201b1.avi,0.5526315789473685,210.24675000011925,640.5433751150605,629.1447740048676,665.7874946734935
52,25,01vnvg151201b1.avi,0.3688610240334378,136.97934351142865,216.12323182423927,200.19218312271508,236.3321700454389
28,10,01vnvg151201b1.avi,0.4164733178654292,123.0722812499589,256.9408730804812,184.1823378723381,310.19213992172314
49,10,01vnvg151201b1.avi,0.3040674603174603,116.877580152689,223.76629163171899,208.94210395102274,242.1439187156729
13,10,01vnvg151201b1.avi,0.2044943820224719,84.00754945049773,191.5244166322719,168.77020177754335,229.1049385253345
45,25,01vnvg151201b1.avi,0.3688212927756654,141.87682113819915,255.29335937854594,228.22404249889254,293.07188071087745
13,25,01vnvg151201b1.avi,0.2044943820224719,84.00754945049722,190.1846971782573,167.74105700877973,227.931804405222
49,25,01vnvg151201b1.avi,0.3040674603174603,116.877580152689,223.76629163171899,208.94210395102274,242.1439187156729
23,25,01vnvg151201b1.avi,0.5108153078202995,184.1089210526912,261.20262127311616,184.45997889208803,276.27128039561893
44,25,01vnvg151201b1.avi,0.2605736509479825,94.99388321174328,195.4245256482553,177.08049269067158,232.3314143264274
45,10,01vnvg151201b1.avi,0.3553088133240805,132.81619298244843,258.1256505188304,236.78981411708423,291.0719039939078
55,10,01vnvg151201b1.avi,0.100314889788574,60.13368292682716,176.10526796989905,173.50745890959305,197.76102698014418
18,10,01vnvg151201b1.avi,0.3460207612456747,157.68187500006775,438.58603278012924,483.3982800725839,318.7845278900932
52,10,01vnvg151201b1.avi,0.3688610240334378,136.97934351142865,216.12323182423927,200.19218312271508,236.3321700454389
55,25,01vnvg151201b1.avi,0.0604534005037783,35.97514814817046,182.5386469456911,183.0126774018044,175.14092610880664
23,6,02 coucou d.jpg,0.2290076335877862,79.92512499983431,155.74360756366863,153.14153986839236,164.50390213776552
17,6,02 coucou d.jpg,0.217391304347826,59.67350000031295,239.37003598577712,242.39446236126602,228.45924439295246
53,6,02 coucou d.jpg,0.1034482758620689,49.70533333330727,144.5606479794085,129.80219911254366,279.4950376193156
42,6,02 coucou d.jpg,0.0,0.0,0.0,0.0,0.0
21,6,02 coucou d.jpg,0.0,0.0,593.4893511022063,593.4893511022063,0.0
50,6,02 coucou d.jpg,0.1027397260273972,42.62428571430174,148.44067971611884,147.49856493375592,156.54286684444017
52,6,02 coucou d.jpg,0.2758620689655172,88.4016666666657,204.1549773021375,202.33007599102802,209.02138079842942
47,6,02 coucou d.jpg,0.1214285714285714,52.33471428576325,137.04424758746615,128.85914288339785,180.93798323953786
46,6,02 coucou d.jpg,0.0896551724137931,32.326375000004134,191.05203165213814,193.88429940965523,162.51148732638927
13,6,02 coucou d.jpg,0.2197802197802197,88.31380000002682,156.01490673148248,143.97571497914012,160.83307333569294
49,6,02 coucou d.jpg,0.0909090909090909,43.05800000003851,315.58099298895837,317.0604679493752,301.01385491716195
55,6,02 coucou d.jpg,0.1851851851851851,52.54250000013669,180.55853404220193,157.18432284713504,113.57932292648346
49,22,02 devant.jpg,0.0425531914893617,23.877399999834505,186.3727184792375,188.25759929687555,161.95587984402084
21,22,02 devant.jpg,0.3214285714285714,89.55800000019372,534.8597365678522,380.6757016175127,304.680364326521
28,22,02 devant.jpg,0.1818181818181818,49.74199999985308,458.59261342844536,442.2191704324542,487.27309307813755
18,22,02 devant.jpg,0.1881188118811881,67.45116666665596,255.56726746806467,239.97320900380697,270.51872134608675
48,22,02 devant.jpg,0.1641791044776119,58.11699999999831,222.31761578744735,223.19428356914352,217.89442834343478
42,22,02 devant.jpg,0.2916666666666667,104.4337500000837,227.68934318650471,178.2881382238364,259.97885752558733
15,22,02 devant.jpg,0.375,119.32300000001366,280.24964103344166,235.0426048639792,213.9361751712668
13,22,02 devant.jpg,0.1925925925925926,67.48737500014244,241.9580684141998,216.32046508713222,312.6393384163334
14,22,02 devant.jpg,0.112,39.78599999998031,227.64989854159714,221.1593847151805,248.05748574750743
17,22,02 devant.jpg,0.3157894736842105,59.75499999988824,0.0,0.0,0.0
37,15,02 neutre visage gris.jpg,0.1893687707641196,66.6894705882356,85.49421508227366,71.80806702926914,144.80085664529327
49,13,02 neutre visage gris.jpg,0.0982456140350877,62.91724999982375,88.16227633938377,85.8553111801817,78.5861419845726
49,13,03 bonbons triste vs joie.avi,0.119047619047619,45.49444444434137,0.0,0.0,0.0
21,6,03 devant.jpg,0.7894736842105263,1193.4959999993443,741.3345392630365,762.4870301461435,726.2611599974007
47,6,03 devant.jpg,0.0205479452054794,19.91200000047684,98.51861366751207,97.71476730484284,136.56734150052276
13,6,03 devant.jpg,0.0482758620689655,34.81275000004075,169.9594141383364,169.4480039068436,179.9684429546945
49,6,03 devant.jpg,0.1180555555555555,33.79700000006706,226.1739157973782,227.40690871890092,216.3870344827917
50,6,03 devant.jpg,0.0209790209790209,19.91300000001972,89.08023484678647,88.94341963303162,95.41933975076131
52,6,03 devant.jpg,0.1944444444444444,53.4058181818109,238.281748011116,233.0995283670344,259.5658644064514
23,6,03 devant.jpg,0.096551724137931,46.41116666638603,266.3270513365698,265.9539157304566,269.79188196476395
